font-style,font-style
left,left
[background-color,[background-color
absolute,absolute
always,always
armenian,armenian
auto,auto
avoid,avoid
background-attachment,background-attachment
background-image,background-image
background-position,background-position
background-repeat,background-repeat
baseline,baseline
bidi-override,bidi-override
blink,blink
bold,bold
bolder,bolder
border-top-color,border-top-color
both,both
bottom,bottom
capitalize,capitalize
caption,caption
center,center
circle,circle
collapse,collapse
crosshair,crosshair
decimal,decimal
decimal-leading-zero,decimal-leading-zero
default,default
disc,disc
e-resize,e-resize
embed,embed
fixed,fixed
font-variant,font-variant
font-weight,font-weight
font-size,font-size
line-height,line-height
font-family,font-family
georgian,georgian
help,help
hidden,hidden
hide,hide
icon,icon
inherit ,inherit 
inside,inside
invert,invert
italic,italic
justify,justify
left,left
lighter,lighter
line-through,line-through
list-style-image,list-style-image
list-style-position,list-style-position
list-style-type,list-style-type
lower-alpha,lower-alpha
lower-greek,lower-greek
lower-latin,lower-latin
lower-roman,lower-roman
lowercase,lowercase
ltr,ltr
menu,menu
message-box,message-box
middle,middle
move,move
n-resize,n-resize
ne-resize,ne-resize
no-repeat,no-repeat
none,none
normal,normal
nowrap,nowrap
nw-resize,nw-resize
oblique,oblique
outline-color,outline-color
outline-style,outline-style
outline-width,outline-width
outside,outside
overline,overline
pointer,pointer
pre,pre
pre-line,pre-line
pre-wrap,pre-wrap
progress,progress
relative,relative
repeat,repeat
repeat-x,repeat-x
repeat-y,repeat-y
right,right
rtl,rtl
s-resize,s-resize
scroll,scroll
se-resize,se-resize
separate,separate
show,show
small-caps,small-caps
small-caption,small-caption
square,square
static,static
status-bar,status-bar
sub,sub
super,super
sw-resize,sw-resize
text,text
text-bottom,text-bottom
text-top,text-top
top,top
transparent,transparent
underline,underline
upper-alpha,upper-alpha
upper-latin,upper-latin
upper-roman,upper-roman
uppercase,uppercase
visible,visible
w-resize,w-resize
wait,wait
